time              Acceleration                 	Velocity                 Angel_Acceleration            	Angel_Velocity
0.3800s     (0.00000,1.57000,0.00000)    (0.00000,0.59660,0.00000)    (0.00000,0.00000,-2.49509)    (0.00000,0.00000,0.77014)
0.3900s     (0.00000,1.57000,0.00000)    (0.00000,0.61230,0.00000)    (0.00000,0.00000,-2.81974)    (0.00000,0.00000,0.74195)
0.4000s     (0.00000,1.57000,0.00000)    (0.00000,0.62800,0.00000)    (0.00000,0.00000,-3.04166)    (0.00000,0.00000,0.71153)
0.4100s     (0.00000,1.57000,0.00000)    (0.00000,0.64370,0.00000)    (0.00000,0.00000,-3.13764)    (0.00000,0.00000,0.68015)
0.4200s     (0.00000,1.57000,0.00000)    (0.00000,0.65940,0.00000)    (0.00000,0.00000,-3.08889)    (0.00000,0.00000,0.64926)
0.4300s     (0.00000,1.57000,0.00000)    (0.00000,0.67510,0.00000)    (0.00000,0.00000,-2.88345)    (0.00000,0.00000,0.62043)
0.4400s     (0.00000,1.57000,0.00000)    (0.00000,0.69080,0.00000)    (0.00000,0.00000,-2.51854)    (0.00000,0.00000,0.59524)
0.4500s     (0.00000,1.57000,0.00000)    (0.00000,0.70650,0.00000)    (0.00000,0.00000,-2.00228)    (0.00000,0.00000,0.57522)
0.4600s     (0.00000,1.57000,0.00000)    (0.00000,0.72220,0.00000)    (0.00000,0.00000,-1.35476)    (0.00000,0.00000,0.56167)
0.4700s     (0.00000,1.57000,0.00000)    (0.00000,0.73790,0.00000)    (0.00000,0.00000,-0.60813)    (0.00000,0.00000,0.55559)
0.4800s     (0.00000,1.57000,0.00000)    (0.00000,0.75360,0.00000)    (0.00000,0.00000,0.19445)    (0.00000,0.00000,0.55754)
0.4900s     (0.00000,1.57000,0.00000)    (0.00000,0.76930,0.00000)    (0.00000,0.00000,1.00091)    (0.00000,0.00000,0.56755)
0.5000s     (0.00000,1.57000,0.00000)    (0.00000,0.78500,0.00000)    (0.00000,0.00000,1.75334)    (0.00000,0.00000,0.58508)
0.5100s     (0.00000,1.57000,0.00000)    (0.00000,0.80070,0.00000)    (0.00000,0.00000,2.39207)    (0.00000,0.00000,0.60900)
0.5200s     (0.00000,1.57000,0.00000)    (0.00000,0.81640,0.00000)    (0.00000,0.00000,2.86031)    (0.00000,0.00000,0.63760)
0.5300s     (0.00000,1.57000,0.00000)    (0.00000,0.83210,0.00000)    (0.00000,0.00000,3.10935)    (0.00000,0.00000,0.66870)
0.5400s     (0.00000,1.57000,0.00000)    (0.00000,0.84780,0.00000)    (0.00000,0.00000,3.10388)    (0.00000,0.00000,0.69974)
0.5500s     (0.00000,1.57000,0.00000)    (0.00000,0.86350,0.00000)    (0.00000,0.00000,2.82731)    (0.00000,0.00000,0.72801)
0.5600s     (0.00000,1.57000,0.00000)    (0.00000,0.87920,0.00000)    (0.00000,0.00000,2.28640)    (0.00000,0.00000,0.75087)
0.5700s     (0.00000,1.57000,0.00000)    (0.00000,0.89490,0.00000)    (0.00000,0.00000,1.51463)    (0.00000,0.00000,0.76602)
0.5800s     (0.00000,1.57000,0.00000)    (0.00000,0.91060,0.00000)    (0.00000,0.00000,0.57350)    (0.00000,0.00000,0.77175)
0.5900s     (0.00000,1.57000,0.00000)    (0.00000,0.92630,0.00000)    (0.00000,0.00000,-0.44937)    (0.00000,0.00000,0.76726)
0.6000s     (0.00000,1.57000,0.00000)    (0.00000,0.94200,0.00000)    (0.00000,0.00000,-1.44602)    (0.00000,0.00000,0.75280)
0.6100s     (0.00000,1.57000,0.00000)    (0.00000,0.95770,0.00000)    (0.00000,0.00000,-2.29845)    (0.00000,0.00000,0.72982)
0.6200s     (0.00000,1.57000,0.00000)    (0.00000,0.97340,0.00000)    (0.00000,0.00000,-2.89298)    (0.00000,0.00000,0.70089)
0.6300s     (0.00000,1.57000,0.00000)    (0.00000,0.98910,0.00000)    (0.00000,0.00000,-3.13728)    (0.00000,0.00000,0.66951)
0.6400s     (0.00000,1.57000,0.00000)    (0.00000,1.00480,0.00000)    (0.00000,0.00000,-2.97751)    (0.00000,0.00000,0.63974)
0.6500s     (0.00000,1.57000,0.00000)    (0.00000,1.02050,0.00000)    (0.00000,0.00000,-2.41227)    (0.00000,0.00000,0.61562)
0.6600s     (0.00000,1.57000,0.00000)    (0.00000,1.03620,0.00000)    (0.00000,0.00000,-1.49978)    (0.00000,0.00000,0.60062)
0.6700s     (0.00000,1.57000,0.00000)    (0.00000,1.05190,0.00000)    (0.00000,0.00000,-0.35589)    (0.00000,0.00000,0.59706)
0.6800s     (0.00000,1.57000,0.00000)    (0.00000,1.06760,0.00000)    (0.00000,0.00000,0.85828)    (0.00000,0.00000,0.60564)
0.6900s     (0.00000,1.57000,0.00000)    (0.00000,1.08330,0.00000)    (0.00000,0.00000,1.95799)    (0.00000,0.00000,0.62522)
